 
 
 
 
 
 
                         MATH/LIBRARY ROUTINE LIST
 
 
Routine      Library      Diskette       Routine      Library      Diskette
EVFSF    SMATH2A             6           FSINI    SMATH6             16
DEVFSF   DMATH2A            25           DFSINI   DMATH6             35
EVLCG    SMATH2A             6           FSINT    SMATH6             16
DEVLCG   DMATH2A            25           DFSINT   DMATH6             35
EVLCH    SMATH2A             6           GAMMA    SMATH10            21
DEVLCH   DMATH2A            25           DGAMMA   DMATH10            40
 
 
 
                                      17
 
 
 
 
 
 
 
 
 
Routine      Library      Diskette       Routine      Library      Diskette
-------      -------      --------       -------      -------      --------
 
GDHES    SMATH8B            19           IVPRK    SMATH5A            13
DGDHES   DMATH8B            38           DIVPRK   DMATH5A            32
GGUES    SMATH8B            19           IWKCIN   MATHCORE            1
DGGUES   DMATH8B            38           IWKIN    MATHCORE            1
GPICG    SMATH2B             7           JCGRC    SMATH1A             3
DGPICG   DMATH2B            26           DJCGRC   DMATH1A            22
GPIRG    SMATH2B             7           LCHRG    SMATH1C             5
DGPIRG   DMATH2B            26           DLCHRG   DMATH1C            24
GPISP    SMATH2B             7           LDNCH    SMATH1C             5
DGPISP   DMATH2B            26           DLDNCH   DMATH1C            24
GQRCF    SMATH4B            12           LFCCB    SMATH1B             4
DGQRCF   DMATH4B            31           DLFCCB   DMATH1B            23
GQRUL    SMATH4B            12           LFCCG    SMATH1B             4
DGQRUL   DMATH4B            31           DLFCCG   DMATH1B            23
GVCCG    SMATH2B             7           LFCCT    SMATH1B             4
DGVCCG   DMATH2B            26           DLFCCT   DMATH1B            23
GVCRG    SMATH2B             7           LFCDH    SMATH1B             4
DGVCRG   DMATH2B            26           DLFCDH   DMATH1B            23
GVCSP    SMATH2B             7           LFCDS    SMATH1A             3
DGVCSP   DMATH2B            26           DLFCDS   DMATH1A            22
GVLCG    SMATH2B             7           LFCHF    SMATH1B             4
DGVLCG   DMATH2B            26           DLFCHF   DMATH1B            23
GVLRG    SMATH2B             7           LFCQH    SMATH1B             4
DGVLRG   DMATH2B            26           DLFCQH   DMATH1B            23
GVLSP    SMATH2B             7           LFCQS    SMATH1A             3
DGVLSP   DMATH2B            26           DLFCQS   DMATH1A            22
SHOUAP   BLAS                2           LFCRB    SMATH1A             3
DHOUAP   BLAS                2           DLFCRB   DMATH1A            22
SHOUTR   BLAS                2           LFCRG    SMATH1A             3
DHOUTR   BLAS                2           DLFCRG   DMATH1A            22
SHPROD   BLAS                2           LFCRT    SMATH1A             3
DHPROD   BLAS                2           DLFCRT   DMATH1A            22
HRRRR    SMATH9             20           LFCSF    SMATH1A             3
DHRRRR   DMATH9             39           DLFCSF   DMATH1A            22
HYPOT    SMATH10            21           LFDCB    SMATH1B             4
DHYPOT   DMATH10            40           DLFDCB   DMATH1B            23
IACHAR   MATHCORE            1           LFDCG    SMATH1B             4
ICASE    MATHCORE            1           DLFDCG   DMATH1B            23
IDYWK    SMATH10, DMATH10   21, 40       LFDCT    SMATH1B             4
IERCD    MATHCORE            1           DLFDCT   DMATH1B            23
IICSR    MATHCORE            1           LFDDH    SMATH1B             4
IIDEX    SMATH10, DMATH10   21, 40       DLFDDH   DMATH1B            23
IMACH    MATHCORE            1           LFDDS    SMATH1A             3
INLAP    SMATH6             16           DLFDDS   DMATH1A            22
DINLAP   DMATH6             35           LFDHF    SMATH1B             4
ISRCH    SMATH10, DMATH10   21, 40       DLFDHF   DMATH1B            23
IVPAG    SMATH5A            13           LFDQH    SMATH1B             4
DIVPAG   DMATH5A            32           DLFDQH   DMATH1B            23
IVPBS    SMATH5A            13           LFDQS    SMATH1A             3
DIVPBS   DMATH5A            32           DLFDQS   DMATH1A            22
 
 
 
                                      18
 
 
 
 
 
 
 
 
 
Routine      Library      Diskette       Routine      Library      Diskette
-------      -------      --------       -------      -------      --------
 
LFDRB    SMATH1A             3           LFTCG    SMATH1B             4
DLFDRB   DMATH1A            22           DLFTCG   DMATH1B            23
LFDRG    SMATH1A             3           LFTDH    SMATH1B             4
DLFDRG   DMATH1A            22           DLFTDH   DMATH1B            23
LFDRT    SMATH1A             3           LFTDS    SMATH1A             3
DLFDRT   DMATH1A            22           DLFTDS   DMATH1A            22
LFDSF    SMATH1A             3           LFTHF    SMATH1B             4
DLFDSF   DMATH1A            22           DLFTHF   DMATH1B            23
LFICB    SMATH1B             4           LFTQH    SMATH1B             4
DLFICB   DMATH1B            23           DLFTQH   DMATH1B            23
LFICG    SMATH1B             4           LFTQS    SMATH1A             3
DLFICG   DMATH1B            23           DLFTQS   DMATH1A            22
LFIDH    SMATH1B             4           LFTRB    SMATH1A             3
DLFIDH   DMATH1B            23           DLFTRB   DMATH1A            22
LFIDS    SMATH1A             3           LFTRG    SMATH1A             3
DLFIDS   DMATH1A            22           DLFTRG   DMATH1A            22
LFIHF    SMATH1B             4           LFTSF    SMATH1A             3
DLFIHF   DMATH1B            23           DLFTSF   DMATH1A            22
LFIQH    SMATH1B             4           LINCG    SMATH1B             4
DLFIQH   DMATH1B            23           DLINCG   DMATH1B            23
LFIQS    SMATH1A             3           LINCT    SMATH1B             4
DLFIQS   DMATH1A            22           DLINCT   DMATH1B            23
LFIRB    SMATH1A             3           LINDS    SMATH1A             3
